Pronoun-offset,A-offset,B-offset,offsetPronoun-A,offsetPronoun-B,pre_predict-A,pre_predict-B,pre_predict-N,tar_predict-A,tar_predict-B,tar_predict-N,PronounType,GenderBin,CountNounA,CountNounB,Pronoun_binary,IsFinalPro,IsInitialPro
394,299,361,-95,-33,0.43692625946088687,0.43438052163888907,0.12869321890022417,0.482685419065652,0.4063565695031028,0.11095801143124519,1,0,1,1,2,1,0
314,253,325,-61,11,0.41319630193364354,0.4648533335326524,0.12195036453370378,0.4132109018263184,0.4749006582677823,0.11188843990589882,1,0,1,1,2,0,0
43,0,28,-43,-15,0.5046185379764574,0.38497618019578195,0.1104052818277609,0.4447960869387069,0.44200887108444425,0.11319504197684871,1,1,1,1,4,1,0
244,260,312,16,68,0.4717479922823644,0.4148486074101333,0.11340340030750184,0.5101172858535563,0.3787309008068989,0.11115181333954473,1,1,1,3,4,0,1
267,208,231,-59,-36,0.28982664164164335,0.5908288477480649,0.1193445106102918,0.4759849185748867,0.4060399767838598,0.11797510464125345,0,1,1,1,1,1,0
290,212,301,-78,11,0.3922143268390153,0.4837776087445883,0.12400806441639653,0.44777548516208854,0.4357688963968798,0.11645561844103185,1,0,1,1,2,0,0
476,288,311,-188,-165,0.3832867353821395,0.5073996013401567,0.10931366327770398,0.3563300297037564,0.5325099432653521,0.11116002703089144,0,0,1,2,0,1,0
322,246,307,-76,-15,0.3647093137205274,0.5096513217471207,0.1256393645323519,0.49480239912613017,0.38984722972197705,0.115350371151893,1,0,1,2,2,1,0
340,307,322,-33,-18,0.2755755890644843,0.6048524579189032,0.11957195301661222,0.4247700680498878,0.4686799209424554,0.10655001100765693,1,0,2,2,2,1,0
296,329,397,33,101,0.4248938450823642,0.4738658051692044,0.1012403497484316,0.497702254009724,0.3920354617789848,0.1102622842112913,0,1,5,1,1,0,1
293,237,251,-56,-42,0.3728587022420939,0.5181114440959751,0.10902985366193084,0.4135732337926602,0.47693693997185843,0.10948982623548152,1,1,3,2,4,1,0
278,223,268,-55,-10,0.46165234075346795,0.43786472724222864,0.10048293200430324,0.4659011826499578,0.4210158150536692,0.11308300229637346,1,1,1,1,4,1,0
291,112,142,-179,-149,0.36080951023168956,0.5139407311501855,0.12524975861812487,0.3993093032821168,0.49000835283504773,0.11068234388283545,0,0,1,1,0,1,0
295,101,159,-194,-136,0.5046185379764574,0.38497618019578195,0.1104052818277609,0.4447960869387069,0.44200887108444425,0.11319504197684871,1,0,1,1,2,1,0
549,473,513,-76,-36,0.272312152164121,0.6032175006715644,0.12447034716431486,0.4140083734239149,0.47462247251627343,0.11136915405981164,1,0,1,1,2,1,0
216,152,193,-64,-23,0.5840929730095538,0.3165284650142688,0.09937856197617731,0.47594623828706545,0.41110289658356003,0.1129508651293745,0,0,2,1,0,1,0
228,245,252,17,24,0.40064467064446985,0.5073689024327586,0.09198642692277174,0.37064163155853724,0.5179116698723834,0.11144669856907931,1,0,1,2,2,0,1
530,573,621,43,91,0.38271370979432345,0.48305763205632424,0.1342286581493521,0.4806106400549492,0.3796525135253961,0.1397368464196546,1,0,1,1,2,0,1
232,174,209,-58,-23,0.5582966602510978,0.3200836414303938,0.12161969831850843,0.4763916872749654,0.410656293025398,0.11295201969963665,0,0,2,2,0,1,0
484,362,430,-122,-54,0.5136600854537481,0.3949999514716102,0.09133996307464141,0.4299178277657044,0.4581698481244972,0.11191232410979841,1,1,1,4,4,1,0
225,178,214,-47,-11,0.44176017037776044,0.4322970595264018,0.12594277009583765,0.4191269591582465,0.4681548782009734,0.11271816264078004,1,0,1,2,2,1,0
333,231,244,-102,-89,0.42714623807663754,0.45377389907948223,0.11907986284388022,0.4751774868681579,0.40846763342839815,0.11635487970344376,1,0,2,1,3,1,0
341,228,287,-113,-54,0.28091357268118194,0.6025087529841157,0.11657767433470237,0.42750884767519537,0.4621387297924633,0.11035242253234125,0,0,1,1,0,1,0
272,11,152,-261,-120,0.46954379652579226,0.4167385477782135,0.11371765569599437,0.5204753271310592,0.3621937986856438,0.11733087418329692,0,1,2,1,1,1,0
253,159,198,-94,-55,0.44744654391760114,0.4423579357493258,0.11019552033307266,0.38378687652066107,0.5036326373174852,0.11258048616185369,0,1,2,2,1,1,0
432,253,358,-179,-74,0.3399075371194673,0.4647382415935719,0.1953542212869606,0.5700148272634286,0.2864977669187256,0.14348740581784616,1,1,3,1,4,1,0
334,81,164,-253,-170,0.5046185379764574,0.38497618019578195,0.1104052818277609,0.4447960869387069,0.44200887108444425,0.11319504197684871,1,1,1,2,4,1,0
354,217,301,-137,-53,0.4936027078420011,0.4044725361669659,0.10192475599103276,0.44406060369086664,0.44492649420666963,0.11101290210246374,1,1,3,1,4,1,0
416,379,439,-37,23,0.20561528317632327,0.6608065757168002,0.13357814110687674,0.4202089555372997,0.46977740341036306,0.11001364105233734,1,0,1,1,2,0,0
142,173,403,31,261,0.4060504452900608,0.4920248515781166,0.10192470313182277,0.43097784450562665,0.457313467618471,0.1117086878759024,0,1,1,1,1,0,1
292,191,279,-101,-13,0.4371412140423751,0.39910728353013536,0.16375150242748965,0.4789405509522393,0.40222138797148205,0.1188380610762786,0,0,1,2,0,1,0
377,201,355,-176,-22,0.5046185379764574,0.38497618019578195,0.1104052818277609,0.4447960869387069,0.44200887108444425,0.11319504197684871,0,1,1,1,1,1,0
344,294,307,-50,-37,0.3012222016938133,0.5744426264754613,0.12433517183072557,0.43005085385533615,0.45603661747522245,0.11391252866944157,1,1,1,1,4,1,0
238,162,226,-76,-12,0.376199385064942,0.5163157320208484,0.1074848829142099,0.4033729327361787,0.4835281062610426,0.11309896100277896,1,0,2,2,2,1,0
317,287,300,-30,-17,0.5010945475304112,0.3912762986507936,0.10762915381879508,0.48473694357125374,0.403030720706841,0.11223233572190527,0,1,2,1,1,1,0
415,331,398,-84,-17,0.40944265219330106,0.48359668131722494,0.10696066648947411,0.5244924379472495,0.35545995451746154,0.12004760753528886,0,0,1,3,0,1,0
448,304,462,-144,14,0.5249937486499947,0.37029864020745384,0.10470761114255125,0.5216992775187023,0.3649435962840842,0.11335712619721358,1,0,2,1,2,0,0
225,0,111,-225,-114,0.46977705109550294,0.4058748361830261,0.12434811272147087,0.4983631422697371,0.3887991551390564,0.11283770259120653,0,0,1,1,0,1,0
390,216,241,-174,-149,0.42898763140558266,0.46270612853218895,0.10830624006222846,0.52630283634876,0.3625598563479783,0.11113730730326173,0,1,2,1,1,1,0
325,182,293,-143,-32,0.5480324640086509,0.33138437652917874,0.12058315946217046,0.477122757162958,0.4128313977560565,0.1100458450809852,1,0,1,1,3,1,0
73,0,208,-73,135,0.46237903814868303,0.43025660785181696,0.10736435399949985,0.4608415581344612,0.42615306622380744,0.11300537564173109,0,0,1,1,0,0,0
289,208,266,-81,-23,0.42800263141521167,0.45016876450645893,0.12182860407832892,0.46033029267694836,0.42759691953368034,0.11207278778937145,1,0,1,1,3,1,0
234,200,216,-34,-18,0.5227692729244766,0.3700354444754814,0.10719528260004216,0.45366176612290765,0.434541344786714,0.11179688909037837,0,0,1,2,0,1,0
372,246,321,-126,-51,0.46572999359712813,0.4378728359565076,0.09639717044636399,0.4008792254774158,0.48655233722310925,0.11256843729947454,1,1,2,1,4,1,0
347,220,302,-127,-45,0.39087597939117563,0.4983545435617949,0.11076947704702944,0.5450766739039301,0.33884787690579565,0.11607544919027409,0,0,1,1,0,1,0
164,120,184,-44,20,0.35151984968712674,0.5276246780953037,0.12085547221756962,0.4342662694428413,0.45488902878222875,0.11084470177493005,1,0,1,2,2,0,0
304,369,401,65,97,0.49703453826460414,0.40391844824431744,0.09904701349107821,0.5278609223206727,0.3535701024464269,0.11856897523290057,1,0,2,1,2,0,1
285,471,486,186,201,0.43867880794910324,0.44379524554642275,0.11752594650447432,0.47128695305744084,0.4067868452586412,0.12192620168391759,0,1,1,1,1,0,1
455,470,489,15,34,0.3914864528654605,0.4981067303026861,0.11040681683185323,0.5306426855612341,0.35635618706299266,0.11300112737577314,0,1,5,4,1,0,1
403,293,341,-110,-62,0.29091742002447896,0.5837254558660445,0.1253571241094766,0.5453937984167985,0.33964389132182055,0.11496231026138122,0,0,3,1,0,1,0
519,357,449,-162,-70,0.36500599258832006,0.5028857314406866,0.1321082759709934,0.43200896912884806,0.4578034088947754,0.11018762197637635,0,1,1,2,1,1,0
227,135,251,-92,24,0.526560295629691,0.36039301849825034,0.11304668587205849,0.47564437222841915,0.4136185784745502,0.11073704929703083,1,0,1,1,2,0,0
154,0,108,-154,-46,0.4795945198754979,0.41215719306083465,0.10824828706366761,0.46739526192941505,0.4189422277021317,0.11366251036845307,0,1,1,1,1,1,0
315,371,425,56,110,0.5035731676308228,0.38377317680020473,0.11265365556897257,0.4765800145691314,0.40961389069642606,0.11380609473444252,1,0,2,1,2,0,1
291,219,239,-72,-52,0.4863907998171809,0.39002270213335694,0.12358649804946213,0.45493112258968865,0.4341657068614807,0.11090317054883042,1,0,2,2,2,1,0
363,240,339,-123,-24,0.3544461560478685,0.5230254370222366,0.12252840692989486,0.3920239700318453,0.49905645073412963,0.1089195792340249,1,1,1,2,4,1,0
284,228,266,-56,-18,0.38098270348996893,0.5126648046301755,0.10635249187985585,0.47962681904273385,0.40687097915617193,0.11350220180109424,1,1,4,5,4,1,0
334,237,268,-97,-66,0.4186505578041134,0.4701487085326172,0.11120073366326944,0.4525230755398807,0.4362800504638932,0.11119687399622603,1,0,1,3,2,1,0
321,281,349,-40,28,0.4040065845632274,0.4779280497074065,0.11806536572936618,0.45437143262674007,0.4221456614183863,0.12348290595487368,0,1,1,4,1,0,0
271,198,360,-73,89,0.4892953852607058,0.39663925651228604,0.11406535822700803,0.5250736944845337,0.35978039145003554,0.11514591406543062,0,0,1,1,0,0,0
437,462,516,25,79,0.3809838072044643,0.48131344816463467,0.13770274463090104,0.4880071413344642,0.39387745582309325,0.11811540284244242,1,0,1,2,2,0,1
325,246,299,-79,-26,0.3908591675552255,0.4858467831241559,0.12329404932061853,0.5030525329460749,0.3783465940644434,0.11860087298948187,0,0,2,1,0,1,0
295,365,655,70,360,0.4476868860738611,0.4428142570737248,0.10949885685241402,0.5166688138157776,0.3669587074863203,0.11637247869790238,1,1,1,1,4,0,1
296,232,252,-64,-44,0.2870583834099396,0.5939900719764615,0.11895154461359864,0.4836805059602821,0.40083445697010806,0.11548503706960986,0,0,1,1,0,1,0
276,206,234,-70,-42,0.4705648198032643,0.4196516595603333,0.10978352063640234,0.41919665181587473,0.46955725373698726,0.11124609444713818,1,0,1,1,2,1,0
390,305,407,-85,17,0.3802453530395583,0.5088734524845754,0.1108811944758664,0.481919848728236,0.4046491960768612,0.1134309551949029,1,0,4,1,2,0,0
297,250,275,-47,-22,0.5667531803261436,0.331663883731378,0.10158293594247834,0.430796904386553,0.45730745270234036,0.11189564291110668,1,0,2,2,2,1,0
349,98,260,-251,-89,0.47731732300329344,0.4128090404600354,0.10987363653667134,0.43085438457213954,0.4563481760421329,0.11279743938572771,1,0,1,1,2,1,0
369,312,345,-57,-24,0.4409054499087257,0.43479000813864455,0.12430454195262933,0.37621366520740834,0.5129523606265058,0.11083397416608526,1,0,1,1,2,1,0
354,200,304,-154,-50,0.5027131882991448,0.3845739702930719,0.11271284140778333,0.5182489326468778,0.3585106544380792,0.12324041291504303,1,0,2,1,2,1,0
282,315,355,33,73,0.28820487362268293,0.5534050364952358,0.15839008988208095,0.4839061590127209,0.4036571466799064,0.11243669430737278,1,0,3,3,2,0,1
451,263,310,-188,-141,0.5028745050613953,0.38023655094700604,0.11688894399159887,0.5137263955539655,0.37489034397023163,0.11138326047580258,1,0,1,1,2,1,0
338,91,392,-247,54,0.4657934938434927,0.42601062914276777,0.1081958770137395,0.4880132745639451,0.395500371363214,0.11648635407284127,1,0,1,1,2,0,0
301,191,279,-110,-22,0.47933427174928506,0.3968505211386514,0.12381520711206362,0.5348835375064929,0.34484100699563464,0.1202754554978726,0,1,2,1,1,1,0
385,377,441,-8,56,0.4238797970937781,0.4746879807353465,0.10143222217087554,0.4174485962146312,0.4728346772275575,0.10971672655781112,1,0,2,4,2,0,0
149,118,136,-31,-13,0.5267676474429621,0.3699626294541062,0.10326972310293187,0.45049455353927753,0.4317118792259078,0.11779356723481454,1,1,1,1,4,1,0
497,384,470,-113,-27,0.306197496571798,0.6018741597998742,0.09192834362832802,0.48361088485530207,0.40768183871207747,0.1087072764326204,1,0,1,2,2,1,0
264,201,247,-63,-17,0.5633861141476508,0.3189821154092091,0.11763177044314016,0.41912447940407266,0.46887354665011677,0.11200197394581055,1,0,1,2,2,1,0
536,377,390,-159,-146,0.24764733642377357,0.6494752640291079,0.10287739954711843,0.3158966013660502,0.5729852626489905,0.11111813598495882,1,0,2,4,2,1,0
123,0,39,-123,-84,0.4646620163836353,0.4139861534098749,0.12135183020648958,0.4791934591154718,0.4056764709646857,0.11513006991984256,0,1,1,1,1,1,0
543,293,350,-250,-193,0.36327541347479664,0.4828993458100931,0.15382524071511042,0.5444727707020641,0.3407149386053425,0.11481229069259337,1,1,1,1,4,1,0
386,306,367,-80,-19,0.40709309542650096,0.4643976460252556,0.12850925854824335,0.39851178306152896,0.48982259561255853,0.11166562132591232,1,1,2,1,4,1,0
331,283,295,-48,-36,0.49430986348014305,0.4182251513608168,0.08746498515904015,0.41791303359124427,0.45280729304302564,0.1292796733657299,0,0,3,2,0,1,0
315,257,296,-58,-19,0.40677242000224406,0.470510580486138,0.12271699951161805,0.5023405547197963,0.378836026318567,0.11882341896163676,0,1,1,1,1,1,0
310,280,300,-30,-10,0.38096126556251947,0.499843580774956,0.11919515366252433,0.4752170266723584,0.4119359159293163,0.11284705739832535,1,0,2,3,2,1,0
243,112,173,-131,-70,0.43893644544094107,0.43820644323305447,0.1228571113260043,0.40922448704788356,0.48042775729094556,0.11034775566117075,1,1,1,1,4,1,0
273,102,116,-171,-157,0.4161015357542543,0.47938862334937515,0.10450984089637058,0.40261099766505376,0.4873839713645337,0.11000503097041237,0,0,1,1,0,1,0
521,461,499,-60,-22,0.42115518768228305,0.46311121811878103,0.11573359419893586,0.4747801781715301,0.41285604876304455,0.1123637730654251,1,0,2,1,3,1,0
324,270,286,-54,-38,0.4810387261908138,0.3950533330972096,0.12390794071197661,0.5443105393315235,0.34373511783819427,0.1119543428302821,0,1,2,1,1,1,0
379,316,333,-63,-46,0.376309077964527,0.500277381220271,0.12341354081520217,0.42798610408477294,0.4653834428372413,0.10663045307798581,1,0,1,3,2,1,0
372,348,391,-24,19,0.39658058096291143,0.4820524792883218,0.12136693974876651,0.38034327165612797,0.5103038782412512,0.10935285010262089,0,0,1,2,0,0,0
428,404,438,-24,10,0.3608052358691482,0.4874713346557389,0.15172342947511308,0.49995808467380737,0.3798422213021483,0.1201996940240443,0,1,3,4,1,0,0
382,279,448,-103,66,0.5367628540771321,0.364590690461643,0.09864645546122501,0.3920115148236329,0.47223491846912036,0.13575356670724692,1,0,3,1,3,0,0
424,177,383,-247,-41,0.4481390849861262,0.41323965571101057,0.13862125930286356,0.5369554081007489,0.34359196206875736,0.11945262983049379,0,0,1,1,0,1,0
620,468,531,-152,-89,0.32518650718897407,0.5504362488765601,0.12437724393446596,0.3778349930844241,0.5122836663679174,0.10988134054765838,1,0,1,1,2,1,0
266,237,254,-29,-12,0.36012875294558666,0.5338364376689213,0.10603480938549185,0.4956565290070232,0.38858315756121903,0.11576031343175763,1,0,2,1,2,1,0
269,130,188,-139,-81,0.40055301005209465,0.46996905377034714,0.12947793617755826,0.46254903708123557,0.40967063893375194,0.12778032398501293,0,0,1,1,0,1,0
559,470,536,-89,-23,0.2476793620807736,0.6488370793840057,0.10348355853522061,0.34336337451335947,0.5445204090481378,0.11211621643850264,1,1,3,3,4,1,0
243,200,219,-43,-24,0.45103549249626057,0.4373974112045477,0.11156709629919136,0.43727022793370723,0.4351251888755005,0.12760458319079232,0,1,1,1,1,1,0
268,10,114,-258,-154,0.47343594772391956,0.41576007944638255,0.11080397282969776,0.44694172496425943,0.42652670572957074,0.12653156930616974,0,0,1,1,0,1,0
253,228,287,-25,34,0.4094838462051496,0.47498878900431385,0.11552736479053656,0.4438127513940128,0.4444851944602166,0.11170205414577042,1,0,1,2,2,0,0
291,218,279,-73,-12,0.4346886207612851,0.4718743767928372,0.09343700244587744,0.4627368478588092,0.4266096178934712,0.11065353424771948,0,0,1,1,0,1,0
336,363,383,27,47,0.34594259170184843,0.5313249491068485,0.12273245919130317,0.5327438926433432,0.3493908143032089,0.11786529305344785,1,1,1,2,4,0,1
747,481,555,-266,-192,0.25119433357065707,0.6225393719890757,0.12626629444026682,0.2975816307480802,0.591633959437878,0.11078440981404146,1,0,1,1,2,1,0
473,446,461,-27,-12,0.4117120547683139,0.45384612294371585,0.13444182228797052,0.45486688740134695,0.4095951901782954,0.13553792242035753,1,0,1,4,2,1,0
292,241,266,-51,-26,0.44800481722195634,0.418585421731401,0.1334097610466427,0.48293907434003996,0.3970940137240976,0.11996691193586234,1,1,4,1,4,1,0
248,210,231,-38,-17,0.3734869666182373,0.5093035748430388,0.11720945853872386,0.4249821656629131,0.4645185662632696,0.11049926807381692,1,0,1,2,2,1,0
228,167,183,-61,-45,0.4507566517784057,0.43165085805059583,0.11759249017099857,0.43802786957104145,0.4498133348749335,0.11215879555402491,1,0,2,2,2,1,0
338,269,316,-69,-22,0.42055704676106487,0.4763736945515259,0.10306925868740932,0.4819388739353134,0.4064605262785036,0.11160059978618292,1,0,2,4,2,1,0
303,223,280,-80,-23,0.48896098413982,0.4008849709708911,0.1101540448892886,0.3964922329921697,0.4899149599592344,0.11359280704859587,1,1,2,2,4,1,0
312,260,407,-52,95,0.3336194144430967,0.5435272253606231,0.12285336019628024,0.3483008472319296,0.5241217528779966,0.1275773998900736,0,0,1,1,0,0,0
340,307,327,-33,-13,0.5197932901612058,0.3779383215212638,0.1022683883175303,0.5258548516595816,0.36351093970393855,0.11063420863647996,0,1,1,1,1,1,0
280,165,209,-115,-71,0.3874369038810905,0.4748648554240363,0.13769824069487321,0.5283842221870255,0.3545029728470579,0.11711280496591658,1,0,1,1,3,1,0
288,188,280,-100,-8,0.4335581326127392,0.43991908504386834,0.12652278234339234,0.45395830546823257,0.4333782222134085,0.11266347231835883,1,1,1,2,4,1,0
326,258,314,-68,-12,0.3992070856685632,0.48138344261012056,0.11940947172131615,0.4450684687296713,0.44086312585467397,0.11406840541565523,1,1,2,2,4,1,0
356,273,340,-83,-16,0.4896896441560544,0.39176103994561884,0.11854931589832668,0.4004579972402215,0.4877084995841449,0.11183350317563369,0,0,1,2,0,1,0
285,250,356,-35,71,0.38431693190853944,0.49786058457636895,0.11782248351509175,0.36063762522229104,0.5266948148016477,0.112667559976061,1,1,1,2,4,0,0
301,177,257,-124,-44,0.4742054346367909,0.41160136647752105,0.11419319888568764,0.43661278068856857,0.45154375107767136,0.11184346823376005,1,1,1,1,4,1,0
313,251,327,-62,14,0.4722934018006974,0.41530301794176,0.1124035802575425,0.530270102290701,0.35394584597798967,0.11578405173130918,0,1,2,1,1,0,0
261,198,285,-63,24,0.4549960092163156,0.42034385537888386,0.12466013540480031,0.4434334534546363,0.44748117814098826,0.10908536840437547,1,0,1,1,2,0,0
298,207,275,-91,-23,0.435242124161234,0.4677718253902336,0.09698605044853245,0.4050570096434596,0.48191374706172163,0.11302924329481873,1,0,2,1,2,1,0
294,0,171,-294,-123,0.5046185379764574,0.38497618019578195,0.1104052818277609,0.4447960869387069,0.44200887108444425,0.11319504197684871,0,0,1,1,0,1,0
339,244,311,-95,-28,0.44086760203955555,0.4403981850324649,0.11873421292797956,0.41691895698341536,0.4711288551892911,0.11195218782729364,1,0,2,1,2,1,0
564,386,517,-178,-47,0.40138545419941263,0.4785774297356975,0.12003711606488991,0.5400639894304954,0.3411363930717317,0.11879961749777276,0,0,4,2,0,1,0
440,0,494,-440,54,0.6078263996749049,0.28998250539416653,0.1021910949309284,0.5429130184438516,0.3430458962856406,0.11404108527050759,1,0,1,3,2,0,0
461,322,414,-139,-47,0.27118383210891694,0.5837985952722476,0.14501757261883538,0.6141637879695694,0.2679614825414142,0.11787472948901617,0,1,2,1,1,1,0
466,299,428,-167,-38,0.4302971038508049,0.46289847039912235,0.10680442575007297,0.4483546813120475,0.44476102930065453,0.10688428938729777,1,0,3,2,2,1,0
367,275,339,-92,-28,0.4421428682587407,0.4583918803524601,0.09946525138879898,0.5426859712382601,0.34275312370805644,0.11456090505368353,0,0,1,1,0,1,0
515,322,507,-193,-8,0.48261858933378204,0.3920829001193904,0.12529851054682745,0.3673981188098816,0.5218131474365213,0.11078873375359664,0,1,1,2,1,1,0
311,203,259,-108,-52,0.4052060492048446,0.4873875897291794,0.10740636106597605,0.29754182089570813,0.5896411409320322,0.11281703817225948,0,1,1,1,1,1,0
366,178,194,-188,-172,0.45305435826638707,0.4152076396378553,0.1317380020957575,0.4027890232032815,0.4755281669778069,0.12168280981891184,1,0,1,1,3,1,0
387,298,334,-89,-53,0.4349210937881387,0.4515788997666191,0.113500006445242,0.4112311273384919,0.4749679459915199,0.11380092666998805,0,1,3,1,1,1,0
318,262,291,-56,-27,0.37590786684938304,0.5020961698558881,0.1219959632947289,0.42669993688808855,0.4422143582899832,0.13108570482192813,1,1,1,1,4,1,0
297,342,450,45,153,0.3223742226718919,0.5636433437873952,0.11398243354071272,0.3465766336023315,0.5447914267334277,0.10863193966424066,1,0,1,3,2,0,1
309,330,356,21,47,0.4560646801772651,0.41989577112542065,0.12403954869731461,0.4930737712288099,0.3909195685175674,0.11600666025362254,1,0,2,2,2,0,1
356,265,317,-91,-39,0.36780172585966414,0.49302332422997636,0.13917494991035953,0.4679629481436238,0.4119071320351236,0.12012991982125225,1,0,1,1,2,1,0
306,187,257,-119,-49,0.519598850856258,0.37836152833051,0.10203962081323191,0.4394711305441212,0.4477748231417286,0.11275404631415005,1,0,2,1,2,1,0
276,231,269,-45,-7,0.5121978750035691,0.3763485358203911,0.11145358917603981,0.49360166582941917,0.39263336267134624,0.11376497149923477,0,1,2,1,1,1,0
257,188,219,-69,-38,0.21471578427929702,0.6688009516202308,0.11648326410047224,0.49753784717077654,0.3835254556339834,0.11893669719523985,0,0,1,1,0,1,0
315,223,294,-92,-21,0.2680797533733539,0.5980941804185331,0.1338260662081127,0.37367980033554876,0.5158430946472449,0.1104771050172062,0,0,1,1,0,1,0
321,255,284,-66,-37,0.4171272987854261,0.47659633135763363,0.10627636985694042,0.5411780283567241,0.34611448545044243,0.11270748619283327,0,0,4,4,0,1,0
238,245,292,7,54,0.4199966560483977,0.4727321453269379,0.10727119862466447,0.47512235928229585,0.41398233339276164,0.11089530732494268,1,0,3,1,3,0,1
341,214,254,-127,-87,0.3862823539295259,0.4757079960335126,0.13800965003696133,0.4297922010196266,0.45988533709539653,0.11032246188497709,1,0,1,1,3,1,0
330,264,309,-66,-21,0.4936211176121609,0.3866806328780352,0.11969824950980396,0.42003689797886123,0.46990316348323746,0.1100599385379009,1,0,3,1,2,1,0
291,207,245,-84,-46,0.44206804938416866,0.4482136674882166,0.10971828312761478,0.4528277711172812,0.4330514501549027,0.11412077872781622,0,0,1,1,0,1,0
336,244,287,-92,-49,0.4933352050871692,0.3855979277313262,0.12106686718150468,0.39628068738075617,0.49256712444627765,0.11115218817296614,0,0,1,1,0,1,0
329,270,346,-59,17,0.3827075317063137,0.5170269841146433,0.100265484179043,0.39294737417123765,0.49605488187087343,0.11099774395788883,0,0,1,3,0,0,0
281,180,210,-101,-71,0.3830786636440315,0.4884633745104566,0.12845796184551198,0.47009565552203186,0.4184143542202429,0.11148999025772505,1,0,1,2,2,1,0
